"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.167868000E0,8.247848511E-2,5.763015747E-2,9.812993774E0,9.813509604E0
2.177911000E0,8.053253174E-2,5.628295898E-2,9.820478210E0,9.820969684E0
2.187954000E0,7.723937988E-2,7.574249268E-2,9.811347198E0,9.811943574E0
2.197996000E0,8.801696777E-2,8.202941895E-2,9.824669495E0,9.825406174E0
2.208039000E0,8.143066406E-2,6.990463257E-2,9.822573853E0,9.823160118E0
2.218082000E0,7.738906860E-2,6.122268677E-2,9.799372101E0,9.799868920E0
2.228124000E0,8.711883545E-2,7.244934082E-2,9.811347198E0,9.812001450E0
2.238167000E0,8.771759033E-2,8.023315430E-2,9.814490662E0,9.815210578E0
2.248210000E0,1.023870850E-1,7.095245361E-2,9.819879456E0,9.820669523E0
2.258252000E0,9.714797974E-2,7.439529419E-2,9.812245331E0,9.813008245E0
2.268295000E0,9.056167603E-2,5.209167480E-2,9.830357666E0,9.830912816E0
2.278338000E0,9.714797974E-2,8.322692871E-2,9.828262024E0,9.829094509E0
2.288380000E0,1.082249451E-1,6.765930176E-2,9.813293152E0,9.814123135E0
2.298423000E0,8.981323242E-2,5.613327026E-2,9.816586304E0,9.817157634E0
2.308466000E0,7.424560547E-2,8.083190918E-2,9.815388794E0,9.816002414E0
2.318508000E0,1.055305481E-1,6.526428223E-2,9.815388794E0,9.816173048E0
2.328551000E0,9.624984741E-2,7.993377686E-2,9.821226654E0,9.822023541E0
2.338594000E0,8.277786255E-2,7.200027466E-2,9.808802490E0,9.809416013E0
2.348636000E0,8.981323242E-2,6.661148071E-2,9.819430389E0,9.820067040E0
2.358679000E0,1.052311707E-1,6.810836792E-2,9.809401245E0,9.810202095E0
2.368722000E0,8.726852417E-2,6.316864014E-2,9.820029144E0,9.820620065E0
2.378764000E0,9.415420532E-2,7.214996338E-2,9.817185059E0,9.817901665E0
2.388807000E0,1.008901978E-1,5.807922363E-2,9.803264008E0,9.803955183E0
2.398850000E0,8.876541138E-2,6.451583862E-2,9.805060272E0,9.805674303E0
2.408892000E0,8.696914673E-2,7.619155884E-2,9.808054047E0,9.808735544E0
2.418935000E0,1.094224548E-1,7.574249268E-2,9.818232880E0,9.819134742E0
2.428978000E0,9.654922485E-2,7.783813477E-2,9.826316071E0,9.827098659E0
2.439021000E0,9.684860229E-2,6.765930176E-2,9.817783813E0,9.818494612E0
2.449063000E0,9.595046997E-2,7.544311523E-2,9.819430389E0,9.820188966E0
2.459106000E0,9.565109253E-2,5.059478760E-2,9.807155914E0,9.807752856E0
2.469149000E0,9.624984741E-2,6.406677246E-2,9.809700623E0,9.810381995E0
2.479191000E0,8.367599487E-2,6.795867920E-2,9.819879456E0,9.820471097E0
2.489234250E0,9.624984741E-2,7.768844604E-2,9.837991791E0,9.838769334E0
2.499277250E0,9.355545044E-2,6.735992432E-2,9.820178833E0,9.820855477E0
2.509319250E0,9.939331055E-2,7.484436035E-2,9.818681946E0,9.819470243E0
2.519362250E0,8.951385498E-2,6.421646118E-2,9.809251556E0,9.809870161E0
2.529405250E0,8.831634521E-2,6.301895142E-2,9.822274475E0,9.822873665E0
2.539447250E0,7.738906860E-2,7.738906860E-2,9.808203735E0,9.808814335E0
2.549490250E0,8.876541138E-2,6.810836792E-2,9.820029144E0,9.820666497E0
2.559533250E0,9.265731812E-2,6.062393188E-2,9.798623657E0,9.799249268E0
2.569575250E0,1.046324158E-1,5.837860107E-2,9.805209961E0,9.805941994E0
2.579618250E0,8.038284302E-2,8.472381592E-2,9.824519806E0,9.825213939E0
2.589661250E0,9.804611206E-2,6.765930176E-2,9.822573853E0,9.823296184E0
2.599703250E0,9.475296021E-2,6.780899048E-2,9.818232880E0,9.818924231E0
2.609746250E0,1.001417542E-1,7.694000244E-2,9.823921051E0,9.824732717E0
2.619789250E0,8.861572266E-2,7.798782349E-2,9.830956421E0,9.831665118E0
2.629831250E0,1.053808594E-1,7.289840698E-2,9.808203735E0,9.809040719E0
2.639874250E0,8.397537231E-2,6.825805664E-2,9.815837860E0,9.816434379E0
2.649917250E0,9.415420532E-2,7.469467163E-2,9.803563385E0,9.804300044E0
2.659959250E0,9.580078125E-2,5.807922363E-2,9.796677704E0,9.797318257E0
2.670002250E0,1.002914429E-1,7.873626709E-2,9.804012451E0,9.804841555E0
2.680045250E0,1.008901978E-1,7.020401001E-2,9.812544708E0,9.813314480E0
2.690088250E0,1.056802368E-1,7.798782349E-2,9.804760895E0,9.805640551E0
2.700130250E0,9.385482788E-2,7.080276489E-2,9.802365875E0,9.803070872E0
2.710173250E0,9.475296021E-2,6.661148071E-2,9.824819183E0,9.825501880E0
2.720216250E0,8.292755127E-2,5.792953491E-2,9.820029144E0,9.820550148E0
2.730258250E0,9.250762939E-2,7.349716187E-2,9.831854553E0,9.832564439E0
2.740301250E0,9.699829102E-2,6.990463257E-2,9.816735992E0,9.817464075E0
2.750344250E0,1.010398865E-1,5.822891235E-2,9.826765137E0,9.827457083E0
2.760386250E0,9.265731812E-2,8.337661743E-2,9.818083191E0,9.818874405E0
2.770429250E0,8.771759033E-2,6.331832886E-2,9.810898132E0,9.811494573E0
2.780472250E0,1.022373962E-1,7.244934082E-2,9.802814941E0,9.803615770E0
2.790514250E0,9.101074219E-2,7.723937988E-2,9.813891907E0,9.814617834E0
2.800557250E0,9.265731812E-2,7.170089722E-2,9.810748444E0,9.811447978E0
2.810600250E0,1.097218323E-1,7.694000244E-2,9.804162140E0,9.805077966E0
2.820642250E0,1.062789917E-1,7.080276489E-2,9.810149689E0,9.810980847E0
2.830685250E0,1.125659180E-1,6.256988525E-2,9.804760895E0,9.805606676E0
2.840728250E0,1.005908203E-1,6.810836792E-2,9.799970856E0,9.800723751E0
2.850770250E0,8.158035278E-2,6.511459351E-2,9.801318054E0,9.801873845E0
2.860813250E0,8.726852417E-2,7.319778442E-2,9.804012451E0,9.804674082E0
2.870856250E0,9.864486694E-2,7.244934082E-2,9.824370117E0,9.825132463E0
2.880898250E0,9.535171509E-2,6.152206421E-2,9.814191284E0,9.814847298E0
2.890941250E0,9.909393311E-2,5.328918457E-2,9.811197510E0,9.811842636E0
2.900984250E0,9.610015869E-2,6.885681152E-2,9.797875214E0,9.798588429E0
2.911026250E0,9.340576172E-2,7.394622803E-2,9.805359650E0,9.806083344E0
2.921069250E0,8.607101440E-2,7.469467163E-2,9.823471985E0,9.824133008E0
2.931112250E0,8.921447754E-2,6.780899048E-2,9.818382568E0,9.819022026E0
2.941155250E0,9.804611206E-2,6.945556641E-2,9.809401245E0,9.810137099E0
2.951197250E0,8.607101440E-2,7.694000244E-2,9.816735992E0,9.817414809E0
2.961240250E0,8.038284302E-2,7.679031372E-2,9.804910583E0,9.805540766E0
2.971283250E0,9.789642334E-2,6.122268677E-2,9.810149689E0,9.810829162E0
2.981325250E0,1.037342834E-1,7.140151978E-2,9.814640350E0,9.815448242E0
2.991368250E0,9.205856323E-2,7.244934082E-2,9.806407471E0,9.807107176E0
3.001411250E0,9.684860229E-2,6.900650024E-2,9.815239105E0,9.815959466E0
3.011453250E0,8.352630615E-2,7.858657837E-2,9.824370117E0,9.825039475E0
3.021496250E0,9.160949707E-2,6.017486572E-2,9.812395020E0,9.813007150E0
3.031539250E0,7.738906860E-2,6.197113037E-2,9.805808716E0,9.806309910E0
3.041581250E0,9.535171509E-2,6.541397095E-2,9.816436615E0,9.817117640E0
3.051624250E0,8.846603394E-2,7.679031372E-2,9.817634125E0,9.818332995E0
3.061667250E0,9.235794067E-2,5.792953491E-2,9.822274475E0,9.822879501E0
3.071709250E0,9.505233765E-2,7.634124756E-2,9.808353424E0,9.809111062E0
3.081752250E0,8.232879639E-2,7.858657837E-2,9.807305603E0,9.807966001E0
3.091795250E0,8.771759033E-2,6.496490479E-2,9.800270233E0,9.800878096E0
3.101837250E0,8.622070312E-2,6.242019653E-2,9.813293152E0,9.813870428E0
3.111880250E0,1.004411316E-1,6.002517700E-2,9.814790039E0,9.815487505E0
3.121923250E0,6.765930176E-2,6.032455444E-2,9.813742218E0,9.814160848E0
3.131965250E0,1.064286804E-1,6.346801758E-2,9.819879456E0,9.820661270E0
3.142008250E0,1.047821045E-1,6.017486572E-2,9.811347198E0,9.812091222E0
3.152051250E0,1.059796143E-1,6.930587769E-2,9.814340973E0,9.815157855E0
3.162093250E0,1.109193420E-1,7.005432129E-2,9.812694397E0,9.813571319E0
3.172136250E0,8.187973022E-2,7.783813477E-2,9.816586304E0,9.817236359E0
3.182179250E0,1.020877075E-1,6.810836792E-2,9.806706848E0,9.807474693E0
3.192222250E0,7.963439941E-2,5.718109131E-2,9.821975098E0,9.822464362E0
3.202264250E0,7.858657837E-2,6.197113037E-2,9.807904358E0,9.808414967E0
3.212307250E0,1.029858398E-1,7.244934082E-2,9.816436615E0,9.817244155E0
