"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.872965583E0,9.882564184E-3,2.121950906E-2,3.489150524E-2,4.201606571E-2
2.883008583E0,1.032796442E-3,3.383936274E-2,-5.986028552E-2,6.877079992E-2
2.893052583E0,2.432501554E-2,4.502356966E-2,-1.481099725E-3,5.119591646E-2
2.903095583E0,1.566204350E-2,1.420240260E-2,8.354443252E-2,8.617818779E-2
2.913138583E0,-9.389520565E-3,1.550233914E-2,-1.285334945E-2,2.221923057E-2
2.923181583E0,-1.068063603E-2,3.545898666E-2,-5.940420270E-2,7.000196439E-2
2.933225583E0,3.893322861E-3,-1.509504402E-3,6.424101949E-2,6.437658853E-2
2.943268583E0,-1.761731815E-3,-3.998179883E-3,6.708744407E-2,6.722956413E-2
2.953311583E0,-5.880371192E-3,2.307731565E-4,-7.556590676E-2,7.579471147E-2
2.963354583E0,6.886211056E-3,-1.645414707E-2,-2.302516580E-2,2.912588400E-2
2.973397583E0,-1.123359762E-3,-1.284894576E-2,7.367491722E-2,7.479539272E-2
2.983441583E0,-1.015967881E-2,-1.877961215E-4,-3.395244241E-2,3.544041036E-2
2.993484583E0,-2.136290745E-2,1.006031726E-3,-6.523738503E-2,6.865349460E-2
3.003527583E0,1.024348814E-2,-3.570821509E-4,8.115993798E-2,8.180459699E-2
3.013570583E0,1.703468422E-2,3.416034747E-3,2.188320458E-2,2.794144597E-2
